iter	Passed	Remaining
654	1880	1851
655	1883	1848
656	1885	1845
657	1888	1842
658	1890	1839
659	1893	1836
660	1896	1833
661	1898	1830
662	1901	1826
663	1904	1823
664	1906	1820
665	1909	1817
666	1912	1814
667	1914	1811
668	1917	1808
669	1920	1805
670	1922	1802
671	1925	1799
672	1928	1796
673	1930	1793
674	1933	1790
675	1935	1787
676	1938	1783
677	1941	1780
678	1944	1778
679	1946	1774
680	1949	1771
681	1951	1768
682	1954	1765
683	1957	1762
684	1959	1759
685	1962	1756
686	1965	1753
687	1967	1750
688	1970	1747
689	1973	1744
690	1975	1741
691	1978	1738
692	1981	1735
693	1983	1732
694	1986	1729
695	1989	1726
696	1991	1723
697	1994	1720
698	1997	1717
699	2000	1714
700	2002	1711
701	2005	1708
702	2008	1705
703	2010	1702
704	2013	1699
705	2015	1696
706	2018	1693
707	2021	1690
708	2023	1687
709	2026	1683
710	2029	1680
711	2031	1677
712	2034	1674
713	2036	1671
714	2039	1668
715	2042	1665
716	2044	1662
717	2047	1659
718	2050	1657
719	2053	1654
720	2056	1651
721	2058	1648
722	2061	1645
723	2064	1642
724	2067	1639
725	2070	1636
726	2072	1633
727	2075	1630
728	2078	1627
729	2080	1624
730	2083	1621
731	2086	1618
732	2088	1615
733	2091	1612
734	2094	1609
735	2096	1606
736	2099	1603
737	2101	1600
738	2104	1597
739	2106	1594
740	2109	1591
741	2112	1588
742	2114	1585
743	2117	1582
744	2119	1579
745	2122	1576
746	2125	1573
747	2127	1570
748	2130	1567
749	2132	1564
750	2135	1561
751	2138	1558
752	2141	1555
753	2144	1552
754	2146	1549
755	2149	1546
756	2152	1543
757	2154	1540
758	2157	1537
759	2160	1534
760	2162	1531
761	2165	1528
762	2167	1525
763	2170	1522
764	2173	1520
765	2176	1517
766	2179	1514
767	2181	1511
768	2184	1508
769	2187	1505
770	2190	1502
771	2192	1499
772	2195	1496
773	2198	1493
774	2201	1491
775	2203	1488
776	2206	1485
777	2208	1482
778	2211	1479
779	2214	1476
780	2216	1473
781	2219	1470
782	2221	1466
783	2224	1464
784	2227	1461
785	2230	1458
786	2232	1455
787	2235	1452
788	2238	1449
789	2240	1446
790	2243	1443
791	2246	1440
792	2248	1437
793	2251	1434
794	2254	1431
795	2256	1428
796	2259	1425
797	2261	1422
798	2264	1420
799	2267	1417
800	2269	1414
801	2272	1411
802	2275	1408
803	2277	1405
804	2280	1402
805	2282	1399
806	2285	1396
807	2288	1393
808	2290	1390
809	2293	1387
810	2296	1384
811	2298	1381
812	2301	1378
813	2303	1375
814	2306	1372
815	2309	1369
816	2311	1366
817	2314	1363
818	2317	1360
819	2319	1357
820	2322	1354
821	2325	1352
822	2327	1349
823	2330	1346
824	2332	1343
825	2335	1340
826	2338	1337
827	2340	1334
828	2343	1331
829	2346	1328
830	2349	1325
831	2351	1322
832	2354	1319
833	2356	1316
834	2359	1313
835	2362	1311
836	2364	1308
837	2367	1305
838	2370	1302
839	2372	1299
840	2375	1296
841	2377	1293
842	2380	1290
843	2382	1287
844	2385	1284
845	2388	1281
846	2390	1278
847	2393	1275
848	2395	1272
849	2398	1269
850	2401	1266
851	2403	1263
852	2406	1260
853	2408	1258
854	2411	1255
855	2414	1252
856	2416	1249
857	2419	1246
858	2421	1243
859	2424	1240
860	2427	1237
861	2429	1234
862	2432	1231
863	2434	1228
864	2437	1225
865	2440	1222
866	2442	1219
867	2445	1216
868	2447	1213
869	2450	1211
870	2452	1208
871	2455	1205
872	2458	1202
873	2460	1199
874	2463	1196
875	2465	1193
876	2468	1190
877	2471	1187
878	2473	1184
879	2476	1181
880	2478	1178
881	2481	1176
882	2484	1173
883	2486	1170
884	2489	1167
885	2492	1164
886	2494	1161
887	2497	1158
888	2500	1155
889	2502	1153
890	2505	1150
891	2508	1147
892	2510	1144
893	2513	1141
894	2515	1138
895	2518	1135
896	2520	1132
897	2523	1129
898	2525	1126
899	2528	1123
900	2531	1120
901	2533	1117
902	2536	1115
903	2538	1112
904	2541	1109
905	2543	1106
906	2546	1103
907	2549	1100
908	2551	1097
909	2554	1094
910	2556	1091
911	2559	1088
912	2561	1085
913	2564	1083
914	2567	1080
915	2569	1077
916	2572	1074
917	2574	1071
